waypoint class initialized
waypoint class initialized
pose 6770.93 5422
next 6770.93 5421.43
pose 6770.9 5421.85
next 6770.91 5421.3
pose 6770.9 5421.85
next 6770.91 5421.3
pose 6770.86 5421.54
next 6770.88 5421.03
pose 6770.88 5421.39
next 6770.9 5420.4
pose 6770.88 5421.39
next 6770.9 5420.4
pose 6770.94 5421
next 6770.95 5420.11
pose 6770.94 5421
next 6770.95 5420.11
pose 6770.95 5420.93
next 6770.96 5420.06
pose 6770.98 5420.62
next 6770.98 5419.83
pose 6770.98 5420.62
next 6770.98 5419.83
pose 6770.98 5420.39
next 6770.98 5419.65
pose 6770.98 5420.31
next 6770.98 5419.59
pose 6770.97 5420.16
next 6770.97 5419.48
pose 6770.98 5419.84
next 6770.98 5419.24
pose 6770.98 5419.69
next 6770.98 5419.12
pose 6770.98 5419.69
next 6770.98 5419.12
pose 6770.99 5419.45
next 6770.98 5418.95
pose 6770.98 5419.29
next 6770.98 5418.36
pose 6770.98 5418.98
next 6770.98 5418.21
pose 6770.98 5418.98
next 6770.98 5418.21
pose 6770.99 5418.74
next 6770.98 5418.09
pose 6770.99 5418.74
next 6770.98 5418.09
pose 6771.02 5418.42
next 6770.98 5417.44
pose 6771.02 5418.42
next 6770.98 5417.44
pose 6771.02 5418.11
next 6770.98 5417.44
pose 6771.02 5418.11
next 6770.98 5417.44
pose 6770.98 5417.8
next 6770.98 5417.44
pose 6770.97 5417.64
next 6770.98 5417.44
pose 6770.97 5417.64
next 6770.98 5417.44
pose 6770.96 5417.48
next 6770.98 5417.44
pose 6770.97 5417.32
next 6770.98 5416.35
pose 6771.02 5417.02
next 6771.02 5416.13
pose 6771.02 5417.02
next 6771.02 5416.13
pose 6771.09 5416.73
next 6771.07 5415.91
pose 6771.09 5416.73
next 6771.07 5415.91
pose 6771.08 5416.35
next 6771.06 5415.62
pose 6771.07 5416.28
next 6771.06 5415.57
pose 6771.07 5416.05
next 6771.06 5415.39
pose 6771.07 5416.05
next 6771.06 5415.39
pose 6771.07 5415.81
next 6771.06 5415.22
pose 6771.08 5415.74
next 6771.06 5415.16
pose 6771.08 5415.74
next 6771.06 5415.16
pose 6771.08 5415.35
next 6771.04 5414.39
pose 6771.07 5415.19
next 6771.04 5414.31
pose 6771.06 5415.04
next 6771.04 5414.24
pose 6771.06 5415.04
next 6771.04 5414.24
pose 6771.04 5414.8
next 6771.02 5414.12
pose 6771.04 5414.8
next 6771.02 5414.12
pose 6771.03 5414.42
next 6771.01 5413.44
pose 6771.03 5414.42
next 6771.01 5413.44
pose 6771.03 5414.34
next 6771.01 5413.44
pose 6771.03 5414.1
next 6771.01 5413.44
pose 6771.02 5413.79
next 6771.01 5413.44
pose 6771.01 5413.63
next 6771.01 5413.44
pose 6771.01 5413.63
next 6771.01 5413.44
pose 6771.01 5413.23
next 6771.02 5412.28
pose 6771.01 5413.16
next 6771.02 5412.23
pose 6771.01 5413.16
next 6771.02 5412.23
pose 6771 5412.92
next 6771.01 5412.05
pose 6770.97 5412.77
next 6770.99 5411.94
pose 6770.92 5412.55
next 6770.95 5411.77
pose 6770.91 5412.4
next 6770.94 5411.66
pose 6770.91 5412.4
next 6770.94 5411.66
pose 6770.92 5412.24
next 6770.95 5411.54
pose 6770.94 5411.94
next 6770.97 5411.31
pose 6770.94 5411.94
next 6770.97 5411.31
pose 6770.95 5411.7
next 6770.97 5411.14
pose 6770.95 5411.63
next 6770.97 5411.08
pose 6770.94 5411.47
next 6770.97 5410.96
pose 6770.95 5411.16
next 6771 5410.3
pose 6770.97 5411.01
next 6771.01 5410.22
pose 6770.97 5411.01
next 6771.01 5410.22
pose 6771 5410.86
next 6771.02 5410.15
pose 6771.08 5410.56
next 6771.06 5410
pose 6771.09 5410.34
next 6771.04 5409.44
pose 6771.08 5410.26
next 6771.04 5409.44
pose 6771.06 5410.04
next 6771.04 5409.44
pose 6771.04 5409.96
next 6771.04 5409.44
pose 6771.04 5409.96
next 6771.04 5409.44
pose 6771.03 5409.66
next 6771.04 5409.44
pose 6771.04 5409.5
